tanggal;review
30/11/2025 23:59;ok
30/11/2025 23:55;mantap
30/11/2025 23:54;semakin di apdute udah kompatibel di hp saya udah GK bisa update lagi
30/11/2025 23:51;Mudah dipergunakan, sangat membantu
30/11/2025 23:50;aplikasi terbaik
30/11/2025 23:47;memuaskan
30/11/2025 23:19;kenapa reset password muncul keterangan perangkat kamu tidak didukung min saya sudah bertahun tahun pakai Brimo bukannya semakin baik malah ngaco begini ya kwalitas pelayanan plat merah hadeuhhh
30/11/2025 23:11;sangat baik
30/11/2025 22:59;pokoknya mantap
30/11/2025 22:56;terbaik
30/11/2025 22:46;mantap ğŸ‘ğŸ‘ğŸ‘ğŸ‘
30/11/2025 22:40;Beimo mantap,,.
30/11/2025 22:26;bank BRI memang selalu mempermudah nasabah dalam melakukan berbagai transaksi, terbaikkkk!!!..
30/11/2025 22:13;mantap
30/11/2025 21:55;Aman, Nyaman, Rahasia
30/11/2025 21:04;bagus,, mempermudah
30/11/2025 20:45;mantap
30/11/2025 19:39;maaf uang saya sering tenggelam . kalau ada transaksi yang gagal uang nya gak di balikin biasa nya reversal eh ini gak ada yang balik
30/11/2025 19:29;sangat Bagus Brimo sangat bermanfaat bagi pengusaha apa saja utk mempercepat jalannya beraktivitas
30/11/2025 18:56;akun brimo sya tidak bisa login gi mana cara supaya saya bisa login lagiğŸ™
29/11/2025 23:37;Terima kasih BRI
29/11/2025 23:24;aplikasi yg sangat membantu memudahkan transaksi keuangan nasabah BRI
29/11/2025 22:57;proses cepat dan aman
29/11/2025 22:47;selalu saja mengecewakan,hp saya android 13 dan masih memiliki storage dan ram yang masih banyak tetapi setiap membuka apk brimo ini selalu saja force close.tolong perbaiki ini
29/11/2025 22:13;saya top up brizzi kok gak masuk padahal di Dana sudah terpotong
29/11/2025 22:09;ini kenapa ga bisa masuk ke apk nya lansung fore close
29/11/2025 20:38;mantap
29/11/2025 20:31;scan qris gagal, tapi uang tetep kepotong, hampir semua kontak pengaduan saya chat, tapi respon rumit, susah, ada yg gk dibales, gmna si!
29/11/2025 20:11;tidak bisa login masa bisa pke titik.
29/11/2025 19:43;ok
29/11/2025 19:37;tolong dong aplikasi nya di respon
